R10,29.29,37.20,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,118.42,58.74,180.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,153.51,9.36,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,81.56,60.26,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,121.32,42.54,0.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,58.94,15.91,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,155.09,9.36,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,83.82,59.13,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,158.60,57.08,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,158.57,54.02,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,127.56,54.12,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,59.79,18.96,270.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,58.30,18.91,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,34.06,37.20,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,9.74,98.33,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,30.88,37.20,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,35.65,37.20,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,32.47,37.20,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,64.03,108.41,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,27.38,107.92,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_C0402
R_CAPACITOR,87.81,53.94,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,44.39,108.11,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,73.08,27.27,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,67.78,108.17,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,156.95,14.96,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,59.01,13.59,0.00,,SJ
TP1,12.27,67.61,0.00,TPTP20R,TP20R
TP10,13.69,24.10,0.00,TPTP20R,TP20R
TP11,7.89,31.56,0.00,TPTP20R,TP20R
TP12,17.38,64.41,0.00,TPTP20R,TP20R
TP13,20.34,64.51,0.00,TPTP20R,TP20R
TP14,161.24,42.94,0.00,TPTP20R,TP20R
TP15,81.55,64.42,0.00,TPTP20R,TP20R
TP16,138.39,46.47,0.00,TPTP20R,TP20R
TP17,78.84,24.15,0.00,TPTP20R,TP20R
TP2,14.88,67.61,0.00,TPTP20R,TP20R
TP3,132.94,62.89,0.00,TPTP20R,TP20R
TP4,131.17,40.04,0.00,TPTP20R,TP20R
TP5,7.94,35.09,0.00,TPTP20R,TP20R
TP6,8.01,67.06,0.00,TPTP20R,TP20R
TP7,11.64,25.57,0.00,TPTP20R,TP20R
TP8,9.84,27.57,0.00,TPTP20R,TP20R
TP9,9.77,63.66,0.00,TPTP20R,TP20R
U1,42.54,52.28,0.00,W25Q512JVEIQ,SON50P200X200X80-9N
U2,15.85,52.29,90.00,ESP32-C6-WROOM-1-N8,ESP32-C6-WROOM-1-N8
U3,79.99,51.97,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,138.60,58.57,0.00,MAX17048G+T10,SON50P200X200X80-9N
